hip,ra,dec,mag,spect,con,proper,dist,bayer
25,0.0053,-44.290561,6.28,G3IV,Phe,,81.367,
34,0.006638,26.918108,6.43,F7.5IV-V,Peg,,74.6269,
43,0.008593,59.559679,6.18,G9III-IV,Cas,,136.2398,
50,0.009533,-53.097713,6.49,G1IV,Phe,,59.4177,
63,0.012119,45.253334,6.36,B9p SiEu,And,,187.9699,
88,0.017941,-48.809876,5.71,G8III,Phe,,181.8182,Tau
106,0.022013,49.981558,6.22,G7II-III,Cas,,199.6008,
107,0.022255,-50.337373,5.53,M2III,Phe,,166.3894,
122,0.026616,-77.065724,4.78,K2III,Oct,,66.5779,The
124,0.026949,61.222801,5.58,F0III,Cas,,943.3962,
128,0.027597,73.611846,6.5,Am...,Cep,,70.7714,
137,0.028847,42.367144,6.25,B9IIIp Mn,And,,374.5318,
145,0.030402,-3.027504,5.13,B7III-IV,Psc,,139.2758,
154,0.032672,-6.014072,4.37,M3III,Psc,,132.4503,
171,0.036139,27.082256,5.8,G3V,Peg,,12.1699,
183,0.038867,-29.720414,5.04,B4V,Scl,,154.0832,Zet
186,0.040046,8.956824,6.33,A6V,Psc,,122.8501,
194,0.041584,8.485463,5.7,F0V,Psc,,36.9004,
207,0.043357,66.098966,5.87,G8III,Cas,,100000.0,
238,0.049301,-20.045882,6.25,F6/F7V,Cet,,61.1621,
253,0.052181,-24.145145,6.46,K1III,Cet,,203.666,
274,0.057143,63.64052,6.24,B3Ia,Cas,,763.3588,
301,0.06233,-17.335988,4.55,B9IVn,Cet,,83.4725,
302,0.064342,66.712183,6.31,M4,Cep,,265.9574,
330,0.070462,62.287664,5.9,A1III,Cas,,100000.0,
343,0.072165,-16.529036,5.78,K0III,Cet,,90.6618,
345,0.07231,-29.268822,6.38,A1V,Scl,,124.8439,
355,0.075033,-10.509523,4.99,K3Ibvar,Cet,,641.0256,
365,0.07683,42.09253,6.11,B9III,And,,386.1004,
377,0.078131,-71.436891,5.59,B8III,Tuc,,175.4386,
379,0.078304,67.166445,5.68,K1III,Cep,,92.6784,
394,0.081573,34.659797,6.09,G2V,And,,39.185,
399,0.08222,26.648764,6.25,K4IIIb,Peg,,200.0,
410,0.083662,27.674784,6.47,G8II,Peg,,168.0672,
417,0.084395,-0.503035,6.32,G9III:,Psc,,138.8889,
418,0.085039,61.31397,5.8,B8MNp...,Cas,,221.7295,
443,0.088928,-5.707618,4.61,K1III,Psc,,39.4945,
476,0.094989,13.396266,5.55,G5III,Peg,,114.2857,
518,0.104356,58.436733,5.98,G5V,Cas,,21.4777,
522,0.105277,-49.075191,5.7,G1IV...,Phe,,25.7136,
531,0.10737,64.196168,5.57,B9III,Cas,,265.9574,
544,0.110209,29.021502,6.07,K0V,And,,13.6705,
560,0.113911,-23.10754,6.19,F2IV,Cet,,39.3856,
602,0.121741,-17.38699,6.2,A2IV/V,Cet,,176.0563,
